ID,Name,Symbol,Price,Change_24HR,Fetched_At
1,Bitcoin,btc,66840.0,0.31903,2026-04-03 23:06:22
2,Ethereum,eth,2050.0,0.24293,2026-04-03 23:06:22
3,Solana,sol,80.19,1.90847,2026-04-03 23:06:22
